Month,In/Out,Australia,"	Latitude",Longitude ,International,AllFlights
Mar-20,O,Perth,,,Denpasar,  15
Mar-20,O,Perth,,,Denpasar,  12
Mar-20,O,Perth,,,Denpasar,  27
Mar-20,O,Perth,,,Denpasar,  60
Mar-20,O,Perth,,,Denpasar,  35
Mar-20,O,Perth,,,Denpasar,  20
Mar-20,O,Perth,,,Doha,  31
Mar-20,O,Perth,,,Dubai,  24
Mar-20,O,Perth,,,Hong Kong,  13
Mar-20,O,Perth,,,Jakarta,  11
Mar-20,O,Perth,,,Johannesburg,  18
Mar-20,O,Perth,,,Kota Kinabalu,  2
Mar-20,O,Perth,,,Kuala Lumpur,  19
Mar-20,O,Perth,,,Kuala Lumpur,  33
Mar-20,O,Perth,,,Kuala Lumpur,  19
Mar-20,O,Perth,,,London,  25
Mar-20,O,Perth,,,London,  2
Mar-20,O,Perth,,,Mauritius,  7
Mar-20,O,Perth,,,Singapore,  20
Mar-20,O,Perth,,,Singapore,  25
Mar-20,O,Perth,,,Singapore,  19
Mar-20,O,Perth,,,Singapore,  71
Mar-20,O,Perth,,,Tokyo,  27
Mar-20,O,Port Hedland,,,Denpasar,  2
Mar-20,O,Sydney,,,Abu Dhabi,  49
Mar-20,O,Sydney,,,Apia,  4
Mar-20,O,Sydney,,,Apia,  3
Mar-20,O,Sydney,,,Auckland,  110
Mar-20,O,Sydney,,,Auckland,  23
Mar-20,O,Sydney,,,Auckland,  16
Mar-20,O,Sydney,,,Auckland,  113
Mar-20,O,Sydney,,,Auckland,  56
Mar-20,O,Sydney,,,Bangkok,  26
Mar-20,O,Sydney,,,Bangkok,  26
Mar-20,O,Sydney,,,Beijing,  5
Mar-20,O,Sydney,,,Christchurch,  31
Mar-20,O,Sydney,,,Christchurch,  24
Mar-20,O,Sydney,,,Christchurch,  25
Mar-20,O,Sydney,,,Christchurch,  9
Mar-20,O,Sydney,,,Dallas,  21
Mar-20,O,Sydney,,,Denpasar,  18
Mar-20,O,Sydney,,,Denpasar,  23
Mar-20,O,Sydney,,,Denpasar,  1
Mar-20,O,Sydney,,,Denpasar,  15
Mar-20,O,Sydney,,,Denpasar,  24
Mar-20,O,Sydney,,,Denpasar,  32
Mar-20,O,Sydney,,,Doha,  24
Mar-20,O,Sydney,,,Doha,  37
Mar-20,O,Sydney,,,Dubai,  24
Mar-20,O,Sydney,,,Dubai,  47
Mar-20,O,Sydney,,,Guangzhou,  28
Mar-20,O,Sydney,,,Hanoi,  6
Mar-20,O,Sydney,,,Ho Chi Minh City,  10
Mar-20,O,Sydney,,,Ho Chi Minh City,  23
Mar-20,O,Sydney,,,Hong Kong,  51
Mar-20,O,Sydney,,,Hong Kong,  37
Mar-20,O,Sydney,,,Hong Kong,  1
Mar-20,O,Sydney,,,Honolulu,  16
Mar-20,O,Sydney,,,Honolulu,  25
Mar-20,O,Sydney,,,Houston,  21
Mar-20,O,Sydney,,,Jakarta,  15
Mar-20,O,Sydney,,,Jakarta,  20
Mar-20,O,Sydney,,,Johannesburg,  23
Mar-20,O,Sydney,,,Kuala Lumpur,  20
Mar-20,O,Sydney,,,Kuala Lumpur,  50
Mar-20,O,Sydney,,,Kuala Lumpur,  15
Mar-20,O,Sydney,,,London,  31
Mar-20,O,Sydney,,,London,  3
Mar-20,O,Sydney,,,London,  22
Mar-20,O,Sydney,,,Los Angeles,  18
Mar-20,O,Sydney,,,Los Angeles,  19
Mar-20,O,Sydney,,,Los Angeles,  7
Mar-20,O,Sydney,,,Los Angeles,  18
Mar-20,O,Sydney,,,Los Angeles,  19
Mar-20,O,Sydney,,,Los Angeles,  25
Mar-20,O,Sydney,,,Manila,  10
Mar-20,O,Sydney,,,Manila,  16
Mar-20,O,Sydney,,,Manila,  19
Mar-20,O,Sydney,,,Nadi,  38
Mar-20,O,Sydney,,,Nadi,  10
Mar-20,O,Sydney,,,Nadi,  13
Mar-20,O,Sydney,,,Nadi,  19
Mar-20,O,Sydney,,,New Delhi,  16
Mar-20,O,Sydney,,,New York,  18
Mar-20,O,Sydney,,,Noumea,  15
Mar-20,O,Sydney,,,Noumea,  11
Mar-20,O,Sydney,,,Osaka,  11
Mar-20,O,Sydney,,,Phuket,  2
Mar-20,O,Sydney,,,Phuket,  8
Mar-20,O,Sydney,,,Port Moresby,  2
Mar-20,O,Sydney,,,Port Moresby,  4
Mar-20,O,Sydney,,,Port Vila,  14
Mar-20,O,Sydney,,,Queenstown,  9
